Medicago_Gene_ID	Top_AT_Hit	E-value	Bit-score
Glyma.07G081300.1.p	AT2G45650.1	9.71e-108	304.0
Glyma.07G181600.7.p	AT2G22540.1	2.28e-70	208.0
Glyma.07G228900.1.p	AT2G03060.2	9.61e-110	318.0
Glyma.08G065300.1.p	AT2G14210.2	5.04e-78	228.0
Glyma.08G065400.2.p	AT4G37940.1	1.03e-91	261.0
Glyma.08G068200.8.p	AT2G22540.1	6.11e-71	209.0
Glyma.08G105400.1.p	AT2G03710.1	2.7e-40	130.0
Glyma.08G105500.1.p	AT1G24260.2	6.3e-133	368.0
Glyma.08G120600.1.p	AT4G18960.1	1.97e-110	311.0
Glyma.08G250700.1.p	AT3G02310.1	1.41e-126	352.0
Glyma.08G250800.3.p	AT5G60910.1	1.64e-83	242.0
Glyma.08G269800.1.p	AT1G69120.1	1.52e-122	341.0
Glyma.08G310100.1.p	AT2G42830.2	3.55e-118	330.0
Glyma.09G149000.1.p	AT2G45650.1	6.39e-64	192.0
Glyma.09G201700.1.p	AT4G37940.1	9.61e-91	259.0
Glyma.09G231600.4.p	AT1G71692.1	2.08e-79	229.0
Glyma.09G266200.6.p	AT2G45660.1	5.07e-98	276.0
Glyma.09G266400.4.p	AT2G45650.1	3.08e-85	247.0
Glyma.09G283800.3.p	AT5G23260.4	1.52e-70	210.0
Glyma.10G240500.1.p	AT5G62165.2	6.49e-76	220.0
Glyma.10G240900.1.p	AT1G24260.2	1.11e-56	174.0
Glyma.11G073700.5.p	AT3G54340.1	1.34e-65	196.0
Glyma.11G158812.1.p	AT5G13790.2	7.21e-79	231.0
Glyma.11G252300.1.p	AT1G24260.2	4.11e-127	353.0
Glyma.12G005000.1.p	AT1G71692.1	1.96e-82	236.0
Glyma.13G034100.2.p	AT5G20240.1	9.45e-87	248.0
Glyma.13G052100.1.p	AT5G60910.1	1.41e-80	234.0
Glyma.13G052700.1.p	AT3G02310.1	3.26e-130	361.0
Glyma.13G086400.1.p	AT1G22130.1	7.03e-120	342.0
Glyma.13G223300.1.p	AT4G18960.1	2.24e-129	358.0
Glyma.13G255200.6.p	AT4G37940.1	3.48e-97	276.0
Glyma.13G256900.1.p	AT2G22540.1	8.21e-57	174.0
Glyma.13G257000.7.p	AT2G22540.1	1.31e-53	164.0
Glyma.14G027251.1.p	AT2G42830.2	6.88e-121	337.0
Glyma.14G155100.1.p	AT5G20240.1	1.03e-89	255.0
Glyma.14G168700.1.p	AT1G22130.1	1.3e-123	352.0
Glyma.14G183800.2.p	AT3G57230.1	2.77e-112	315.0
Glyma.15G057900.2.p	AT2G22540.1	1.88e-61	184.0
Glyma.15G058000.2.p	AT2G22540.1	1.81e-56	172.0
Glyma.15G059600.2.p	AT4G37940.1	9.2e-100	283.0
Glyma.15G088600.1.p	AT4G18960.1	1.46e-128	357.0
Glyma.16G091300.1.p	AT1G69120.1	4.57e-123	343.0
Glyma.16G200700.1.p	AT2G45650.1	1.84e-62	189.0
Glyma.17G080900.1.p	AT2G03710.1	5.98e-91	261.0
Glyma.17G081200.1.p	AT5G60910.1	1.56e-108	305.0
Glyma.17G132700.5.p	AT4G22950.1	3.98e-76	222.0
Glyma.18G004700.4.p	AT1G24260.2	1.5e-128	357.0
Glyma.18G105800.1.p	AT2G42830.2	1.19e-117	329.0
Glyma.18G224300.2.p	AT2G45650.1	1.39e-79	233.0
Glyma.18G224500.1.p	AT2G45660.1	2.6e-98	277.0
Glyma.18G273500.1.p	AT3G02310.1	1.93e-126	352.0
Glyma.18G273600.2.p	AT5G60910.1	1.32e-74	221.0
Glyma.19G034500.1.p	AT3G02310.1	1.53e-129	359.0
Glyma.19G034600.1.p	AT5G60910.1	4.83e-80	233.0
Glyma.20G001900.1.p	AT5G23260.4	9e-69	206.0
Glyma.20G034000.3.p	AT2G03060.2	1.74e-105	307.0
Glyma.20G153700.3.p	AT1G24260.2	2.6e-56	173.0
Glyma.20G154200.3.p	AT5G62165.2	7.82e-76	220.0
