Species_Gene_ID,Homologous_Arabidopsis_Symbol,Top_Arabidopsis_Hit,E-value,Bit-score,%_Identity,Alignment_Length
Prupe.3G249400.1.p,AT3G02310.1,"AGL4, SEP2",1.86e-132,367,74.704,253
Prupe.3G249400.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.3G249400.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.3G249400.4.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.3G307800.1.p,AT1G26310.1,"CAL1, AGL10, CAL",2.64e-40,132,38.983,236
Prupe.3G307800.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.3G307800.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.4G070500.1.p,AT4G18960.1,AG,2.04e-127,354,71.032,252
Prupe.4G070500.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.4G070500.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.4G070500.4.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.4G113500.1.p,AT5G23260.4,"TT16, ABS, AGL32",1.82e-57,178,44.223,251
Prupe.5G087500.1.p,AT4G22950.1,"GL19, AGL19",1.55e-81,235,59.813,214
Prupe.5G087500.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.5G149400.1.p,AT4G22950.1,"GL19, AGL19",1.16e-46,146,47.126,174
Prupe.5G208400.1.p,AT3G02310.1,"AGL4, SEP2",5.88e-107,302,63.566,258
Prupe.5G208400.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.5G208400.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.5G208500.1.p,AT5G60910.1,"FUL, AGL8",1.41e-106,301,64.173,254
Prupe.6G199000.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",4.87e-111,311,67.769,242
Prupe.6G199000.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.6G199000.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.6G199000.4.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.6G199000.5.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.6G208900.1.p,AT4G37940.1,AGL21,2.93e-94,268,64.651,215
Prupe.7G055900.1.p,AT3G57390.1,AGL18,3.45e-60,183,44.788,259
Prupe.7G164100.1.p,AT3G54340.1,"AP3, ATAP3",2.65e-74,218,50.909,220
Prupe.7G164100.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.1.p,AT2G22540.1,"AGL22, FAQ1, SVP",4.61e-75,220,50.813,246
Prupe.8G069300.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.3.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.4.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.5.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.6.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G069300.7.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G073700.1.p,AT2G14210.2,"ANR1, AtANR1, AGL44",1.07e-100,285,64.634,246
Prupe.8G073700.2.p,No Match,N/A,N/A,N/A,N/A,N/A
Prupe.8G073700.3.p,No Match,N/A,N/A,N/A,N/A,N/A
