# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  PF00847.AP2.hmm
# target sequence database:        NIPGR-Plants/Nelumbo_nucifera/protein.faa
# per-dom hits tabular output:     NIPGR_WORK/Nelumbo_nucifera/Nelumbo_nucifera_AP2.domtblout
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       AP2  [M=54]
Accession:   PF00847.25
Description: AP2 domain
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    8.5e-21   75.1   9.8    1.1e-09   39.5   0.6    2.5  2  XP_010263475.1  PREDICTED: floral homeotic protein APETALA 2 
    8.6e-21   75.0   9.8    1.1e-09   39.5   0.6    2.5  2  XP_010263474.1  PREDICTED: floral homeotic protein APETALA 2 
    9.3e-21   74.9  13.8    6.5e-12   46.6   3.1    3.1  2  XP_010248341.1  PREDICTED: AP2-like ethylene-responsive trans
    1.5e-20   74.3  14.4    6.6e-12   46.6   3.1    3.1  2  XP_010273592.1  PREDICTED: AP2-like ethylene-responsive trans
    3.2e-20   73.2   9.6    9.2e-10   39.7   3.0    2.4  2  XP_010253488.1  PREDICTED: AP2-like ethylene-responsive trans
      4e-20   72.9   9.6      1e-09   39.6   3.0    2.3  2  XP_010253486.1  PREDICTED: ethylene-responsive transcription 
      4e-20   72.9   9.6      1e-09   39.6   3.0    2.3  2  NP_001289775.1  ethylene-responsive transcription factor RAP2
      4e-20   72.9   9.6      1e-09   39.6   3.0    2.3  2  XP_010260156.1  PREDICTED: ethylene-responsive transcription 
    7.4e-20   72.1  10.9    4.4e-10   40.8   0.4    2.4  2  XP_010254563.1  PREDICTED: AP2-like ethylene-responsive trans
    6.3e-19   69.1  10.7    4.2e-10   40.8   0.4    2.5  2  XP_019055718.1  PREDICTED: AP2-like ethylene-responsive trans
    2.2e-18   67.3  13.9    6.8e-11   43.3   2.2    2.4  2  XP_010268478.1  PREDICTED: AP2-like ethylene-responsive trans
    1.2e-16   61.7   2.5    2.5e-16   60.8   2.5    1.5  1  XP_010258783.1  PREDICTED: ethylene-responsive transcription 
    1.3e-16   61.7   3.4    1.9e-16   61.1   3.4    1.3  1  XP_010260390.1  PREDICTED: pathogenesis-related genes transcr
    2.3e-16   60.9   0.3    2.3e-16   60.9   0.3    2.0  1  XP_010255545.1  PREDICTED: dehydration-responsive element-bin
    2.5e-16   60.8   2.7    4.8e-16   59.8   2.7    1.5  1  XP_010275423.1  PREDICTED: ethylene-responsive transcription 
      4e-16   60.1   3.6      6e-16   59.5   3.6    1.3  1  XP_010279206.1  PREDICTED: pathogenesis-related genes transcr
    4.8e-16   59.8   0.3    4.8e-16   59.8   0.3    2.0  1  XP_010278524.1  PREDICTED: dehydration-responsive element-bin
      1e-15   58.8   2.5    3.1e-15   57.3   1.4    2.1  2  XP_010260392.1  PREDICTED: ethylene-responsive transcription 
    1.2e-15   58.6   4.7    1.2e-15   58.6   4.7    1.6  1  XP_010269994.1  PREDICTED: ethylene-responsive transcription 
    1.2e-15   58.6   1.3    1.2e-15   58.6   1.3    1.8  1  XP_010266557.1  PREDICTED: ethylene-responsive transcription 
    1.4e-15   58.4   0.1    2.6e-15   57.5   0.1    1.5  1  XP_010249578.1  PREDICTED: dehydration-responsive element-bin
    1.4e-15   58.3   0.1    2.7e-15   57.4   0.1    1.5  1  XP_010254012.1  PREDICTED: ethylene-responsive transcription 
    1.4e-15   58.3   3.6    3.4e-15   57.1   3.6    1.6  1  XP_010265708.1  PREDICTED: ethylene-responsive transcription 
    1.6e-15   58.2   2.6    2.4e-15   57.6   2.6    1.3  1  XP_010260299.1  PREDICTED: ethylene-responsive transcription 
    1.7e-15   58.1   2.6    2.5e-15   57.5   2.6    1.3  1  XP_010272364.1  PREDICTED: ethylene-responsive transcription 
    2.6e-15   57.5   0.1    5.1e-15   56.6   0.1    1.5  1  XP_010264429.1  PREDICTED: ethylene-responsive transcription 
    2.7e-15   57.4   2.1    4.7e-15   56.7   2.1    1.4  1  XP_010257031.1  PREDICTED: dehydration-responsive element-bin
    2.9e-15   57.4   1.2    2.9e-15   57.4   1.2    2.0  1  XP_010267583.1  PREDICTED: ethylene-responsive transcription 
    2.9e-15   57.3   1.8    2.9e-15   57.3   1.8    1.8  1  XP_010278126.1  PREDICTED: ethylene-responsive transcription 
      3e-15   57.3   2.7    4.3e-15   56.8   2.7    1.3  1  XP_010262303.1  PREDICTED: ethylene-responsive transcription 
    3.6e-15   57.0   1.7    7.7e-15   56.0   1.7    1.6  1  XP_010261262.1  PREDICTED: ethylene-responsive transcription 
    4.1e-15   56.9   0.1    1.2e-14   55.4   0.1    1.9  1  XP_010264388.1  PREDICTED: ethylene-responsive transcription 
    5.3e-15   56.5   1.1    9.2e-15   55.7   1.1    1.4  1  XP_010245720.1  PREDICTED: ethylene-responsive transcription 
    5.6e-15   56.4   2.5    5.6e-15   56.4   2.5    1.7  1  XP_010259468.1  PREDICTED: ethylene-responsive transcription 
    6.7e-15   56.2   1.1    6.7e-15   56.2   1.1    1.8  1  XP_010262305.1  PREDICTED: ethylene-responsive transcription 
      7e-15   56.1   4.6    1.1e-14   55.5   4.6    1.3  1  XP_010244800.1  PREDICTED: ethylene-responsive transcription 
    7.1e-15   56.1   1.7    7.1e-15   56.1   1.7    1.8  1  XP_010269215.1  PREDICTED: ethylene-responsive transcription 
    7.9e-15   55.9   4.6    1.5e-14   55.1   4.6    1.5  1  XP_010263553.1  PREDICTED: ethylene-responsive transcription 
    8.8e-15   55.8   2.4    1.4e-14   55.2   2.4    1.3  1  XP_010250515.1  PREDICTED: ethylene-responsive transcription 
      9e-15   55.8   4.6    1.5e-14   55.1   4.6    1.4  1  XP_010246271.1  PREDICTED: ethylene-responsive transcription 
    9.1e-15   55.7   4.6    1.5e-14   55.1   4.6    1.3  1  XP_010246270.1  PREDICTED: ethylene-responsive transcription 
    9.4e-15   55.7   4.6    1.5e-14   55.0   4.6    1.3  1  XP_010261002.1  PREDICTED: ethylene-responsive transcription 
      1e-14   55.6   2.5    1.7e-14   54.9   2.5    1.4  1  XP_010275428.1  PREDICTED: ethylene-responsive transcription 
    1.1e-14   55.5   2.5    1.8e-14   54.8   2.5    1.4  1  XP_010258782.1  PREDICTED: ethylene-responsive transcription 
    1.1e-14   55.5   2.7    1.7e-14   54.9   2.7    1.3  1  XP_010265763.1  PREDICTED: dehydration-responsive element-bin
    1.1e-14   55.5   1.6    1.5e-14   55.0   1.6    1.2  1  XP_010260298.1  PREDICTED: ethylene-responsive transcription 
    1.2e-14   55.4   1.2    1.2e-14   55.4   1.2    1.9  1  XP_010274787.1  PREDICTED: ethylene-responsive transcription 
    1.2e-14   55.3   1.1      2e-14   54.6   1.1    1.4  1  XP_010252581.1  PREDICTED: ethylene-responsive transcription 
    1.3e-14   55.3   2.2    2.9e-14   54.1   2.2    1.7  1  XP_010254126.1  PREDICTED: dehydration-responsive element-bin
    1.3e-14   55.2   3.1    2.9e-14   54.1   3.1    1.6  1  XP_010269611.1  PREDICTED: ethylene-responsive transcription 
    1.4e-14   55.1   2.4    1.5e-14   55.1   1.6    1.4  1  XP_010272367.1  PREDICTED: ethylene-responsive transcription 
    1.6e-14   55.0   0.2    2.5e-14   54.3   0.2    1.4  1  XP_010257631.1  PREDICTED: ethylene-responsive transcription 
    1.6e-14   55.0   2.2    2.3e-14   54.4   2.2    1.3  1  XP_010257316.1  PREDICTED: dehydration-responsive element-bin
    1.7e-14   54.9   2.3    3.2e-14   54.0   2.3    1.5  1  XP_010249458.1  PREDICTED: ethylene-responsive transcription 
    1.7e-14   54.9   0.2      4e-14   53.7   0.2    1.7  1  XP_010258834.1  PREDICTED: ethylene-responsive transcription 
    1.7e-14   54.9   4.8    6.3e-13   49.8   4.4    2.4  2  XP_010247507.1  PREDICTED: AP2-like ethylene-responsive trans
    2.1e-14   54.6   0.1      4e-14   53.7   0.1    1.5  1  XP_010243826.1  PREDICTED: dehydration-responsive element-bin
    2.4e-14   54.4   3.1    3.5e-14   53.9   3.1    1.3  1  XP_010274790.1  PREDICTED: ethylene-responsive transcription 
    2.8e-14   54.2   2.6      6e-14   53.1   2.6    1.6  1  XP_010252020.1  PREDICTED: pathogenesis-related genes transcr
    3.6e-14   53.9   3.1    3.6e-14   53.9   3.1    1.5  1  XP_010274789.1  PREDICTED: ethylene-responsive transcription 
    4.4e-14   53.6   0.7    4.4e-14   53.6   0.7    1.9  1  XP_010251534.1  PREDICTED: ethylene-responsive transcription 
    4.6e-14   53.5   0.8    9.8e-14   52.4   0.8    1.6  1  XP_010249334.1  PREDICTED: ethylene-responsive transcription 
    4.6e-14   53.5   0.5    6.8e-14   53.0   0.5    1.3  1  XP_010270056.1  PREDICTED: ethylene-responsive transcription 
    4.8e-14   53.4   0.7    4.8e-14   53.4   0.7    2.3  2  XP_010261483.1  PREDICTED: ethylene-responsive transcription 
    5.1e-14   53.4   0.8    9.7e-14   52.5   0.8    1.5  1  XP_010250477.2  PREDICTED: ethylene-responsive transcription 
    5.1e-14   53.3   1.9      7e-14   52.9   1.9    1.2  1  XP_010274866.1  PREDICTED: ethylene-responsive transcription 
    5.2e-14   53.3   2.1      8e-14   52.7   2.1    1.3  1  XP_010271525.1  PREDICTED: dehydration-responsive element-bin
    5.4e-14   53.3   0.2    9.1e-14   52.5   0.2    1.4  1  XP_010244551.1  PREDICTED: pathogenesis-related genes transcr
    5.9e-14   53.2   4.2    1.1e-13   52.3   4.2    1.5  1  XP_010261539.1  PREDICTED: ethylene-responsive transcription 
    5.9e-14   53.1   0.9    8.5e-14   52.6   0.9    1.3  1  XP_010243654.1  PREDICTED: dehydration-responsive element-bin
    6.7e-14   53.0   0.8    9.8e-14   52.4   0.8    1.3  1  XP_010273874.1  PREDICTED: ethylene-responsive transcription 
      7e-14   52.9   2.0    1.1e-13   52.2   2.0    1.4  1  XP_010274788.1  PREDICTED: ethylene-responsive transcription 
    7.6e-14   52.8   5.1    1.2e-13   52.2   5.1    1.3  1  XP_010260885.1  PREDICTED: ethylene-responsive transcription 
    9.9e-14   52.4   2.5    1.6e-13   51.8   2.5    1.3  1  XP_010274030.1  PREDICTED: ethylene-responsive transcription 
      1e-13   52.4   0.1      1e-13   52.4   0.1    1.5  1  XP_010242642.1  PREDICTED: dehydration-responsive element-bin
    1.2e-13   52.2   1.4    1.6e-13   51.7   1.4    1.2  1  XP_010262304.1  PREDICTED: ethylene-responsive transcription 
    2.2e-13   51.3   0.1      3e-13   50.9   0.1    1.2  1  XP_019052225.1  PREDICTED: LOW QUALITY PROTEIN: ethylene-resp
    2.2e-13   51.3   4.1    4.1e-13   50.5   4.1    1.4  1  XP_010263592.1  PREDICTED: ethylene-responsive transcription 
    2.5e-13   51.2   1.0    3.7e-13   50.6   1.0    1.3  1  XP_010245316.1  PREDICTED: ethylene-responsive transcription 
    5.8e-13   50.0   0.0    9.7e-13   49.3   0.0    1.4  1  XP_010242644.1  PREDICTED: ethylene-responsive transcription 
    6.9e-13   49.7   1.1      1e-12   49.2   1.1    1.2  1  XP_010242006.1  PREDICTED: ethylene-responsive transcription 
    7.5e-13   49.6   0.9    1.1e-12   49.1   0.9    1.3  1  XP_010273875.1  PREDICTED: ethylene-responsive transcription 
    7.8e-13   49.6   0.3    1.4e-12   48.8   0.3    1.4  1  XP_010241855.1  PREDICTED: ethylene-responsive transcription 
    8.1e-13   49.5   1.8    1.2e-12   48.9   1.8    1.3  1  XP_010261769.1  PREDICTED: ethylene-responsive transcription 
    8.2e-13   49.5   2.3    1.4e-12   48.7   2.3    1.4  1  XP_010241385.1  PREDICTED: ethylene-responsive transcription 
    8.6e-13   49.4   2.4    1.5e-12   48.6   2.4    1.4  1  XP_010251056.1  PREDICTED: ethylene-responsive transcription 
    8.8e-13   49.4   0.3    1.4e-12   48.8   0.3    1.3  1  XP_010243538.1  PREDICTED: ethylene-responsive transcription 
    9.3e-13   49.3   2.4    1.5e-12   48.7   2.4    1.3  1  XP_010249428.1  PREDICTED: ethylene-responsive transcription 
    9.4e-13   49.3   4.0    9.4e-13   49.3   4.0    1.6  1  XP_010271250.1  PREDICTED: ethylene-responsive transcription 
    9.8e-13   49.2   3.1    9.8e-13   49.2   3.1    1.8  1  XP_010259467.1  PREDICTED: ethylene-responsive transcription 
      1e-12   49.2   3.7      1e-12   49.2   3.7    1.7  1  XP_010265156.1  PREDICTED: ethylene-responsive transcription 
      1e-12   49.2   3.7      1e-12   49.2   3.7    1.7  1  XP_010265157.1  PREDICTED: ethylene-responsive transcription 
    1.1e-12   49.1   3.2    1.1e-12   49.1   3.2    1.7  1  XP_010269613.1  PREDICTED: ethylene-responsive transcription 
    1.5e-12   48.7   0.3    2.7e-12   47.8   0.3    1.5  1  XP_010245546.1  PREDICTED: ethylene-responsive transcription 
    1.5e-12   48.6   0.3    2.6e-12   47.9   0.3    1.4  1  XP_010265679.1  PREDICTED: ethylene-responsive transcription 
    1.6e-12   48.5   1.1      3e-12   47.7   1.1    1.5  1  XP_010250110.1  PREDICTED: ethylene-responsive transcription 
    1.7e-12   48.5   0.5    2.5e-12   47.9   0.5    1.3  1  XP_010274320.1  PREDICTED: ethylene-responsive transcription 
    2.2e-12   48.1   0.6    3.4e-12   47.5   0.6    1.3  1  XP_010272800.1  PREDICTED: ethylene-responsive transcription 
    2.7e-12   47.8   1.1    2.7e-12   47.8   1.1    1.7  1  XP_010254403.1  PREDICTED: ethylene-responsive transcription 
    2.8e-12   47.8   3.9    5.3e-12   46.9   3.9    1.5  1  XP_010261706.1  PREDICTED: ethylene-responsive transcription 
    2.8e-12   47.8   3.9    5.3e-12   46.9   3.9    1.5  1  XP_010261707.1  PREDICTED: ethylene-responsive transcription 
    2.9e-12   47.7   3.9    5.2e-12   46.9   3.9    1.5  1  XP_010273830.1  PREDICTED: ethylene-responsive transcription 
    3.3e-12   47.6   1.9    5.6e-12   46.8   1.9    1.4  1  XP_010263467.1  PREDICTED: ethylene-responsive transcription 
    3.5e-12   47.5   0.3    5.4e-12   46.9   0.3    1.3  1  XP_010264771.1  PREDICTED: dehydration-responsive element-bin
    5.7e-12   46.8   0.3    9.2e-12   46.1   0.3    1.4  1  XP_010262228.1  PREDICTED: ethylene-responsive transcription 
    7.6e-12   46.4  10.3    9.8e-10   39.6   3.0    2.7  2  XP_010253487.1  PREDICTED: ethylene-responsive transcription 
    9.3e-12   46.1   1.5    1.5e-11   45.5   1.5    1.3  1  XP_010270594.1  PREDICTED: ethylene-responsive transcription 
      1e-11   46.0  10.6    9.6e-10   39.7   3.0    2.7  2  XP_010260158.1  PREDICTED: ethylene-responsive transcription 
    1.4e-11   45.6   0.2    2.4e-11   44.8   0.2    1.4  1  XP_010242028.1  PREDICTED: ethylene-responsive transcription 
    2.2e-11   44.9   0.4    3.6e-11   44.2   0.4    1.4  1  XP_010265482.1  PREDICTED: ethylene-responsive transcription 
    3.6e-11   44.2   0.0      6e-11   43.5   0.0    1.4  1  XP_010255544.1  PREDICTED: ethylene-responsive transcription 
    4.3e-11   44.0   0.3    8.1e-11   43.1   0.3    1.4  1  XP_010252352.1  PREDICTED: ethylene-responsive transcription 
      5e-11   43.8   0.0    8.8e-11   43.0   0.0    1.4  1  XP_010278525.1  PREDICTED: ethylene-responsive transcription 
    7.6e-11   43.2   0.0    1.7e-10   42.1   0.0    1.6  1  XP_010264432.1  PREDICTED: dehydration-responsive element-bin
      9e-11   43.0   3.7    3.8e-09   37.8   3.4    2.3  2  XP_010247508.1  PREDICTED: AP2-like ethylene-responsive trans
    6.2e-10   40.3   0.6    1.3e-09   39.2   0.6    1.6  1  XP_010265251.1  PREDICTED: AP2/ERF and B3 domain-containing t
    6.7e-10   40.2   0.6    1.3e-09   39.2   0.6    1.5  1  XP_010262942.1  PREDICTED: AP2/ERF and B3 domain-containing t
    1.9e-09   38.7   0.0    2.6e-09   38.3   0.0    1.2  1  XP_010267890.1  PREDICTED: ethylene-responsive transcription 
    5.3e-08   34.1   0.2    5.3e-08   34.1   0.2    2.3  2  XP_010249446.1  PREDICTED: AP2/ERF and B3 domain-containing t
    1.6e-07   32.6   0.9    4.9e-07   31.0   0.5    2.1  1  XP_010246118.1  PREDICTED: B3 domain-containing protein At2g3
    2.5e-07   31.9   0.4    5.1e-07   30.9   0.4    1.6  1  XP_010259177.1  PREDICTED: AP2/ERF and B3 domain-containing t
    1.1e-06   29.9   0.1    1.7e-06   29.3   0.1    1.3  1  XP_019052030.1  PREDICTED: dehydration-responsive element-bin
    4.4e-06   28.0   0.1    1.1e-05   26.7   0.1    1.7  1  XP_010262926.1  PREDICTED: B3 domain-containing protein At2g3
    6.8e-05   24.1   0.2    6.8e-05   24.1   0.2    2.7  2  XP_010242670.1  PREDICTED: ethylene-responsive transcription 
    6.8e-05   24.1   0.2    6.8e-05   24.1   0.2    2.7  2  XP_019051495.1  PREDICTED: ethylene-responsive transcription 
    6.8e-05   24.1   0.2    6.8e-05   24.1   0.2    2.7  2  XP_019051496.1  PREDICTED: ethylene-responsive transcription 
    0.00011   23.5   0.2    0.00011   23.5   0.2    2.6  2  XP_019051494.1  PREDICTED: ethylene-responsive transcription 


Domain annotation for each sequence (and alignments):
>> XP_010246586.1  PREDICTED: AP2-like ethylene-responsive transcription factor At1g16060 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   45.6   4.6   5.2e-14   1.4e-11       3      53 ..      48     105 ..      46     106 .. 0.96
   2 !   43.4   1.6   2.4e-13   6.4e-11       1      53 [.     148     199 ..     148     200 .. 0.93

  Alignments for each domain:
  == domain 1  score: 45.6 bits;  conditional E-value: 5.2e-14
             AP2   3 irGVrydkkwgrWvAe......wsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV++++++gr++A+      wse++k+k ++++lg y+  e Aa+a++ a+lk++g
  XP_010246586.1  48 YRGVTRHRWTGRYEAHlwdkncWSESQKKKGRQVYLGAYDDeEAAAHAYDSAALKYWG 105
                     9*********************999999999*************************98 PP

  == domain 2  score: 43.4 bits;  conditional E-value: 2.4e-13
             AP2   1 pkirGVrydkkwgrWvAewsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +k+rGV ++ + grW+A+   +++++ k+ +lg++ t eeAa a++ a+ +++g
  XP_010246586.1 148 SKYRGVARHHHNGRWEARI--GRVFGNKYLYLGTFATqEEAAAAYDIAAIEYRG 199
                     69****************8..566777*************************98 PP

>> XP_010254562.1  PREDICTED: AP2-like ethylene-responsive transcription factor AIL7 isoform X1 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   46.3   4.1     3e-14   8.1e-12       1      53 [.     235     294 ..     235     295 .. 0.88
   2 !   40.7   0.4   1.7e-12   4.4e-10       3      53 ..     339     388 ..     337     388 .. 0.88

  Alignments for each domain:
  == domain 1  score: 46.3 bits;  conditional E-value: 3e-14
             AP2   1 pkirGVrydkkwgrWvAe.wse.....ngkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +++rGV++++++gr++A+ w +     ++ rk ++++lg y+  e+Aara+++a+lk++g
  XP_010254562.1 235 SVYRGVTRHRWTGRYEAHlWDNscrreGQTRKGRQVYLGGYDKeEKAARAYDLAALKYWG 294
                     68*****************65544454666777*************************98 PP

  == domain 2  score: 40.7 bits;  conditional E-value: 1.7e-12
             AP2   3 irGVrydkkwgrWvAewsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV+++  +grW A+    ++ + k  +lg++gt eeAa+a++ a+ k +g
  XP_010254562.1 339 YRGVTRHHQQGRWQARIG--RVAGNKDLYLGTFGTeEEAAEAYDIAAIKFRG 388
                     9***************73..33335***********************9986 PP

>> XP_019053013.1  PREDICTED: AP2-like ethylene-responsive transcription factor AIL7 isoform X1 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   46.3   4.1     3e-14   8.1e-12       1      53 [.     235     294 ..     235     295 .. 0.88
   2 !   40.7   0.4   1.7e-12   4.4e-10       3      53 ..     339     388 ..     337     388 .. 0.88

  Alignments for each domain:
  == domain 1  score: 46.3 bits;  conditional E-value: 3e-14
             AP2   1 pkirGVrydkkwgrWvAe.wse.....ngkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +++rGV++++++gr++A+ w +     ++ rk ++++lg y+  e+Aara+++a+lk++g
  XP_019053013.1 235 SVYRGVTRHRWTGRYEAHlWDNscrreGQTRKGRQVYLGGYDKeEKAARAYDLAALKYWG 294
                     68*****************65544454666777*************************98 PP

  == domain 2  score: 40.7 bits;  conditional E-value: 1.7e-12
             AP2   3 irGVrydkkwgrWvAewsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV+++  +grW A+    ++ + k  +lg++gt eeAa+a++ a+ k +g
  XP_019053013.1 339 YRGVTRHHQQGRWQARIG--RVAGNKDLYLGTFGTeEEAAEAYDIAAIKFRG 388
                     9***************73..33335***********************9986 PP

>> XP_010277520.1  PREDICTED: AP2-like ethylene-responsive transcription factor AIL6 isoform X1 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   43.1   4.0     3e-13     8e-11       3      53 ..     224     281 ..     222     282 .. 0.87
   2 !   40.8   0.4   1.6e-12   4.3e-10       3      53 ..     326     375 ..     324     375 .. 0.88

  Alignments for each domain:
  == domain 1  score: 43.1 bits;  conditional E-value: 3e-13
             AP2   3 irGVrydkkwgrWvAe.wse.....ngkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV++++++gr++A+ w +     ++ rk ++++lg y+  e+Aara+++a+lk++g
  XP_010277520.1 224 YRGVTRHRWTGRYEAHlWDNscrreGQTRKGRQVYLGGYDReEKAARAYDLAALKYWG 281
                     9****************65544454666777*************************98 PP

  == domain 2  score: 40.8 bits;  conditional E-value: 1.6e-12
             AP2   3 irGVrydkkwgrWvAewsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV+++  +grW A+    ++ + k  +lg++gt eeAa+a++ a+ k +g
  XP_010277520.1 326 YRGVTRHHQQGRWQARIG--RVAGNKDLYLGTFGTeEEAAEAYDIAAIKFRG 375
                     9***************73..33335***********************9986 PP

>> XP_019055717.1  PREDICTED: AP2-like ethylene-responsive transcription factor AIL6 isoform X1 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   43.1   4.0     3e-13     8e-11       3      53 ..     224     281 ..     222     282 .. 0.87
   2 !   40.8   0.4   1.6e-12   4.3e-10       3      53 ..     326     375 ..     324     375 .. 0.88

  Alignments for each domain:
  == domain 1  score: 43.1 bits;  conditional E-value: 3e-13
             AP2   3 irGVrydkkwgrWvAe.wse.....ngkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV++++++gr++A+ w +     ++ rk ++++lg y+  e+Aara+++a+lk++g
  XP_019055717.1 224 YRGVTRHRWTGRYEAHlWDNscrreGQTRKGRQVYLGGYDReEKAARAYDLAALKYWG 281
                     9****************65544454666777*************************98 PP

  == domain 2  score: 40.8 bits;  conditional E-value: 1.6e-12
             AP2   3 irGVrydkkwgrWvAewsengkrkkkrfslgkygt.eeAaraAiearlkleg 53 
                     +rGV+++  +grW A+    ++ + k  +lg++gt eeAa+a++ a+ k +g
  XP_019055717.1 326 YRGVTRHHQQGRWQARIG--RVAGNKDLYLGTFGTeEEAAEAYDIAAIKFRG 375
                     9***************73..33335***********************9986 PP

>> XP_010268477.1  PREDICTED: AP2-like ethylene-responsive transcription factor At1g16060 isoform X1 [Nelumbo nucifera]
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   42.5   3.7   4.8e-13   1.3e-10       3      53 ..     140     197 ..     138     198 .. 0.93
